CATEGORYID,CATEGORY
0,/General
1,/Adult
2,/Arts & Entertainment
3,/Arts & Entertainment/Celebrities & Entertainment News
4,/Arts & Entertainment/Comics & Animation
5,/Arts & Entertainment/Comics & Animation/Anime & Manga
6,/Arts & Entertainment/Comics & Animation/Cartoons
7,/Arts & Entertainment/Comics & Animation/Comics
8,/Arts & Entertainment/Entertainment Industry
9,/Arts & Entertainment/Entertainment Industry/Film & TV Industry
10,/Arts & Entertainment/Entertainment Industry/Recording Industry
11,/Arts & Entertainment/Events & Listings
12,"/Arts & Entertainment/Events & Listings/Bars, Clubs & Nightlife"
13,/Arts & Entertainment/Events & Listings/Concerts & Music Festivals
14,/Arts & Entertainment/Events & Listings/Expos & Conventions
15,/Arts & Entertainment/Events & Listings/Film Festivals
16,/Arts & Entertainment/Events & Listings/Movie Listings & Theater Showtimes
17,/Arts & Entertainment/Fun & Trivia
18,/Arts & Entertainment/Fun & Trivia/Flash-Based Entertainment
19,/Arts & Entertainment/Fun & Trivia/Fun Tests & Silly Surveys
20,/Arts & Entertainment/Humor
21,/Arts & Entertainment/Humor/Funny Pictures & Videos
22,/Arts & Entertainment/Humor/Political Humor
23,/Arts & Entertainment/Movies
24,/Arts & Entertainment/Music & Audio
25,/Arts & Entertainment/Music & Audio/CD & Audio Shopping
26,/Arts & Entertainment/Music & Audio/Classical Music
27,/Arts & Entertainment/Music & Audio/Country Music
28,/Arts & Entertainment/Music & Audio/Dance & Electronic Music
29,/Arts & Entertainment/Music & Audio/Experimental & Industrial Music
30,/Arts & Entertainment/Music & Audio/Jazz & Blues
31,/Arts & Entertainment/Music & Audio/Music Education & Instruction
32,/Arts & Entertainment/Music & Audio/Music Equipment & Technology
33,/Arts & Entertainment/Music & Audio/Music Reference
34,/Arts & Entertainment/Music & Audio/Music Streams & Downloads
35,/Arts & Entertainment/Music & Audio/Music Videos
36,/Arts & Entertainment/Music & Audio/Pop Music
37,/Arts & Entertainment/Music & Audio/Radio
38,/Arts & Entertainment/Music & Audio/Religious Music
39,/Arts & Entertainment/Music & Audio/Rock Music
40,/Arts & Entertainment/Music & Audio/Soundtracks
41,/Arts & Entertainment/Music & Audio/Urban & Hip-Hop
42,/Arts & Entertainment/Music & Audio/World Music
43,/Arts & Entertainment/Offbeat
44,/Arts & Entertainment/Offbeat/Occult & Paranormal
45,/Arts & Entertainment/Online Media
46,/Arts & Entertainment/Online Media/Online Image Galleries
47,/Arts & Entertainment/Performing Arts
48,/Arts & Entertainment/Performing Arts/Acting & Theater
49,/Arts & Entertainment/Performing Arts/Circus
50,/Arts & Entertainment/Performing Arts/Dance
51,/Arts & Entertainment/Performing Arts/Magic
52,/Arts & Entertainment/Performing Arts/Opera
53,/Arts & Entertainment/TV & Video
54,/Arts & Entertainment/TV & Video/Online Video
55,/Arts & Entertainment/TV & Video/TV Commercials
56,/Arts & Entertainment/TV & Video/TV Shows & Programs
57,/Arts & Entertainment/Visual Art & Design
58,/Arts & Entertainment/Visual Art & Design/Architecture
59,/Arts & Entertainment/Visual Art & Design/Art Museums & Galleries
60,/Arts & Entertainment/Visual Art & Design/Design
61,/Arts & Entertainment/Visual Art & Design/Painting
62,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts
63,/Autos & Vehicles
64,/Autos & Vehicles/Bicycles & Accessories
65,/Autos & Vehicles/Bicycles & Accessories/Bike Parts & Repair
66,/Autos & Vehicles/Bicycles & Accessories/BMX Bikes
67,/Autos & Vehicles/Boats & Watercraft
68,/Autos & Vehicles/Campers & RVs
69,/Autos & Vehicles/Classic Vehicles
70,/Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers
71,/Autos & Vehicles/Motor Vehicles (By Type)
72,/Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles
73,/Autos & Vehicles/Motor Vehicles (By Type)/Motorcycles
74,/Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles
75,/Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs
76,/Autos & Vehicles/Vehicle Codes & Driving Laws
77,/Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration
78,/Autos & Vehicles/Vehicle Parts & Services
79,/Autos & Vehicles/Vehicle Parts & Services/Gas Prices & Vehicle Fueling
80,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories
81,/Autos & Vehicles/Vehicle Parts & Services/Vehicle Repair & Maintenance
82,/Autos & Vehicles/Vehicle Shopping
83,/Autos & Vehicles/Vehicle Shopping/Used Vehicles
84,/Autos & Vehicles/Vehicle Shows
85,/Beauty & Fitness
86,/Beauty & Fitness/Beauty Pageants
87,/Beauty & Fitness/Body Art
88,/Beauty & Fitness/Cosmetic Procedures
89,/Beauty & Fitness/Cosmetic Procedures/Cosmetic Surgery
90,/Beauty & Fitness/Cosmetology & Beauty Professionals
91,/Beauty & Fitness/Face & Body Care
92,/Beauty & Fitness/Face & Body Care/Hygiene & Toiletries
93,/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics
94,/Beauty & Fitness/Face & Body Care/Perfumes & Fragrances
95,/Beauty & Fitness/Face & Body Care/Skin & Nail Care
96,/Beauty & Fitness/Face & Body Care/Unwanted Body & Facial Hair Removal
97,/Beauty & Fitness/Fashion & Style
98,/Beauty & Fitness/Fashion & Style/Fashion Designers & Collections
99,/Beauty & Fitness/Fitness
100,/Beauty & Fitness/Hair Care
